feature,importance,target
max_h_rate_last10,0.0047196257,K
opp_sp_bb_rate,0.00466176,K
team_allowed_k_rate_vs_hand_std,0.004621272,K
k_rate_last7,0.004562492,K
ev_spread_last10,0.004545012,K
hard_hit_proxy_std,0.004434052,K
k_rate_last10,0.0044240654,K
h_rate_std,0.004395535,K
avg_LA_std,0.0043829237,K
ev_spread_std,0.0043716505,K
team_allowed_k_rate_vs_hand_last10,0.00435029,K
opp_sp_h_rate_std,0.004334751,K
h_rate_last14,0.0043161144,K
hr_rate_last7,0.0043081017,K
h_rate_last30,0.0042987308,K
BB_last10,0.004137177,K
avg_LA_last10,0.004133932,K
team_allowed_hr_rate_vs_hand_std,0.0041185454,K
team_allowed_bb_rate_vs_hand_std,0.004101305,K
opp_sp_hr_rate_std,0.00403459,K
team_allowed_h_rate_vs_hand_std,0.0040336186,K
team_allowed_hr_rate_vs_hand_last10,0.003994821,K
team_allowed_bb_rate_vs_hand_last10,0.003926367,K
h_rate_last21,0.0038967528,K
barrel_proxy_last10,0.0038952646,K
opp_sp_hr_rate,0.003868588,K
opp_sp_h_rate_last10,0.0037590973,K
sweet_spot_proxy_last10,0.0036205298,K
team_allowed_h_rate_vs_hand_last10,0.0035541267,K
h_tt_h,0.0035182056,K
park_factor,0.0033305294,K
ev_la_interaction_std,0.0031826978,K
ev_la_interaction_last10,0.0030691156,K
opp_sp_bb_rate_last10,0.002985575,K
xbh_proxy_rate_last10,0.0,K
days_since_game,0.0,K
max_hr_rate_last10,0.0,K
blast_proxy_last10,0.0,K
PA_last21,0.11672792,PA
PA_std,0.08005241,PA
PA_last14,0.062167175,PA
PA_last10,0.06129423,PA
hitter_hr_rate_vs_hand_last10_R,0.058188744,PA
PA_last30,0.04449552,PA
PA_last3,0.04394095,PA
PA_last7,0.024823606,PA
hitter_k_rate_vs_hand_std_R,0.022620423,PA
hitter_hr_rate_vs_hand_std_R,0.021968188,PA
hitter_hr_rate_vs_hand_std_L,0.018866533,PA
hitter_bb_rate_vs_hand_std_R,0.017316474,PA
H_std,0.015995663,PA
hitter_k_rate_vs_hand_last10_R,0.013907413,PA
hitter_bb_rate_vs_hand_std_L,0.01367286,PA
hitter_h_rate_vs_hand_last10_L,0.013583584,PA
hitter_k_rate_vs_hand_std_L,0.012306651,PA
opp_sp_h_rate,0.010956154,PA
hitter_bb_rate_vs_hand_last10_R,0.010837413,PA
h_rate_last21,0.01002701,PA
hitter_h_rate_vs_hand_std_R,0.009970731,PA
hitter_k_rate_vs_hand_last10_L,0.009943282,PA
hitter_bb_rate_vs_hand_last10_L,0.009510274,PA
hitter_h_rate_vs_hand_last10_R,0.008282834,PA
hitter_h_rate_vs_hand_std_L,0.00745673,PA
opp_sp_bb_rate,0.007358813,PA
opp_sp_ip,0.007300291,PA
BB_last21,0.0071535027,PA
BB_last30,0.0066033034,PA
hitter_hr_rate_vs_hand_last10_L,0.006548475,PA
H_last21,0.0061571673,PA
sweet_spot_proxy_std,0.0058201416,PA
H_last14,0.005761608,PA
hard_hit_proxy_std,0.0057463176,PA
max_EV_std,0.005549716,PA
times_on_base_rate_std,0.0053569837,PA
bb_rate_last30,0.0051611066,PA
max_EV_last10,0.005144763,PA
BB_last14,0.0048340317,PA
opp_sp_ip_std,0.004628889,PA
opp_sp_ip_last10,0.0045695473,PA
H_last7,0.0045169615,PA
team_allowed_hr_rate_vs_hand_std,0.0044581126,PA
max_h_rate_last10,0.004242301,PA
times_on_base_rate_last10,0.004170636,PA
opp_sp_hr_rate_std,0.0040085455,PA
h_tt_h,0.0037902887,PA
K_last21,0.0035986588,PA
HR_std,0.0035889496,PA
sweet_spot_proxy_last10,0.0035473162,PA
bb_rate_last21,0.0034388504,PA
opp_sp_hr_rate_last10,0.0034219818,PA
H_last10,0.00330761,PA
k_rate_last30,0.0032187693,PA
opp_sp_bb_rate_std,0.003160698,PA
opp_sp_k_rate_std,0.0031529118,PA
opp_sp_h_rate_std,0.0031522333,PA
H_last30,0.0030781045,PA
BB_std,0.003069665,PA
h_rate_std,0.0030590228,PA
opp_sp_bb_rate_last10,0.0029961807,PA
k_rate_last21,0.0029807342,PA
avg_EV_last10,0.0029426569,PA
opp_sp_h_rate_last10,0.0028914174,PA
k_rate_last7,0.0028876902,PA
bb_rate_last14,0.0028456785,PA
team_allowed_h_rate_vs_hand_std,0.0028279389,PA
k_rate_last14,0.0028175034,PA
opp_sp_k_rate_last10,0.002793138,PA
h_rate_last30,0.0027676485,PA
hard_hit_proxy_last10,0.002757501,PA
avg_EV_std,0.0027156149,PA
h_tt_k,0.002708922,PA
opp_sp_k_rate,0.0027033624,PA
team_allowed_bb_rate_vs_hand_last10,0.0026692115,PA
team_allowed_hr_rate_vs_hand_last10,0.0026239206,PA
team_allowed_bb_rate_vs_hand_std,0.0025677085,PA
HR_last21,0.0025653308,PA
team_allowed_k_rate_vs_hand_std,0.0025287254,PA
h_rate_last10,0.0024627747,PA
h_rate_last14,0.0024404004,PA
opp_sp_hr_rate,0.0024103997,PA
k_rate_last10,0.0023937162,PA
ev_spread_std,0.0022755102,PA
ev_spread_last10,0.0022618808,PA
park_factor,0.0022387502,PA
h_rate_last7,0.0021831922,PA
hr_rate_last14,0.0020843528,PA
HR_last30,0.002080884,PA
hr_rate_last7,0.0020727196,PA
hr_rate_last21,0.0020707822,PA
hr_rate_std,0.0020406826,PA
BB_last7,0.00200228,PA
h_tt_hr,0.0019784446,PA
hr_rate_last30,0.0019657395,PA
avg_LA_std,0.0019616315,PA
bb_rate_std,0.0019397405,PA
avg_LA_last10,0.001911964,PA
team_allowed_h_rate_vs_hand_last10,0.0019043073,PA
h_tt_bb,0.0018892301,PA
K_last14,0.0018284114,PA
days_since_game,0.0018072778,PA
team_allowed_k_rate_vs_hand_last10,0.0017378702,PA
barrel_proxy_std,0.001612228,PA
K_std,0.0015655227,PA
ev_la_interaction_last10,0.0015423418,PA
ev_la_interaction_std,0.0014962989,PA
bb_rate_last10,0.0014262199,PA
K_last30,0.0014217687,PA
K_last10,0.0013174796,PA
blast_proxy_std,0.0013100184,PA
K_last7,0.0013070955,PA
bb_rate_last7,0.0012556752,PA
HR_last10,0.001002404,PA
k_rate_std,0.0006622008,PA
xbh_proxy_rate_std,0.0006520521,PA
BB_last10,0.00030586417,PA
HR_last14,0.0,PA
hr_rate_last10,0.0,PA
HR_last7,0.0,PA
xbh_proxy_rate_last10,0.0,PA
max_hr_rate_last10,0.0,PA
barrel_proxy_last10,0.0,PA
blast_proxy_last10,0.0,PA
opp_sp_h_rate,0.037328523,TB
opp_sp_hr_rate,0.033830233,TB
PA_std,0.02441029,TB
PA_last21,0.021011565,TB
PA_last30,0.019551175,TB
PA_last14,0.018338809,TB
PA_last10,0.015933981,TB
hitter_hr_rate_vs_hand_std_R,0.014058563,TB
hitter_hr_rate_vs_hand_last10_R,0.013062812,TB
opp_sp_ip,0.012532549,TB
PA_last7,0.0107908035,TB
max_EV_std,0.010465434,TB
hitter_bb_rate_vs_hand_std_L,0.009757386,TB
H_last30,0.009354282,TB
hitter_hr_rate_vs_hand_std_L,0.009317878,TB
H_std,0.009059441,TB
hitter_k_rate_vs_hand_last10_L,0.008838476,TB
hitter_bb_rate_vs_hand_std_R,0.008762261,TB
