player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
hitter,ATH,LAA,Jacob Wilson,805779,5.0,SS,Confirmed,3.35,,,,,0.71,0.15,0.62,0.31,0.28,1.21,0.06,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,ATH,LAA,Jonah Heim,641680,6.0,DH,Confirmed,3.9,,,,,0.82,0.23,0.75,0.33,0.32,1.4,0.06,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,ATH,LAA,Carlos Cortes,666126,7.0,RF,Confirmed,3.67,,,,,0.56,0.48,0.73,0.35,0.26,1.35,0.04,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,ATH,LAA,Henry Bolte,703607,8.0,CF,Confirmed,3.75,,,,,0.82,0.48,0.8,0.38,0.28,1.46,0.04,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,ATH,LAA,Jeff McNeil,643446,9.0,2B,Confirmed,3.64,,,,,0.57,0.45,0.81,0.37,0.28,1.46,0.02,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,LAA,ATH,Zach Neto,687263,1.0,SS,Confirmed,4.22,,,,,0.93,0.6,0.99,0.68,0.53,2.21,0.3,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,LAA,ATH,Nick Madrigal,663611,2.0,2B,Confirmed,3.86,,,,,0.82,0.36,0.71,0.36,0.24,1.31,0.02,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-06-18
hitter,LAA,ATH,Jo Adell,666176,3.0,CF,Confirmed,4.09,,,,,0.87,0.42,0.89,0.64,0.62,2.15,0.36,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,LAA,ATH,Vaughn Grissom,687093,4.0,1B,Confirmed,3.47,,,,,0.98,0.19,0.51,0.28,0.24,1.03,0.07,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,LAA,ATH,Oswald Peraza,672724,5.0,DH,Confirmed,3.71,,,,,0.79,0.35,0.81,0.55,0.52,1.88,0.28,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
